timestamps,ppg_1,ppg_2,ppg_3,ppg_corrected,average_distance,
1546626416,797802.1875,184394656,156602928,0.7978021875,0.01564002037,
1546626416,798608.0625,184390624,156611792,0.7986080625,0.01564002037,
1546626416,803443.25,184390624,156612608,0.80344325,0.01563000679,
1546626416,800219.75,184445424,156598896,0.80021975,0.01564002037,
1546626416,800219.75,184473632,156585200,0.80021975,0.01564002037,
1546626416,801831.5,184467984,156641616,0.8018315,0.01564002037,
1546626416,796996.3125,184437360,156632752,0.7969963125,0.01563000679,
1546626416,801831.5,184398688,156622272,0.8018315,0.01564002037,
1546626416,796190.5,184434944,156594064,0.7961905,0.01563978195,
1546626416,797802.1875,184374512,156587616,0.7978021875,0.01563000679,
1546626416,798608.0625,184347104,156570688,0.7986080625,0.01564002037,
1546626416,797802.1875,184343072,156552160,0.7978021875,0.01564002037,
1546626416,798608.0625,184322928,156578752,0.7986080625,0.01564002037,
1546626416,797802.1875,184318896,156561024,0.7978021875,0.01563000679,
1546626416,798608.0625,184318096,156535232,0.7986080625,0.01564002037,
1546626416,797802.1875,184319712,156604544,0.7978021875,0.01564002037,
1546626416,797802.1875,184331792,156537648,0.7978021875,0.01563000679,
1546626416,794578.75,184343072,156555392,0.79457875,0.01564002037,
1546626416,798608.0625,184319712,156541680,0.7986080625,0.01564002037,
1546626416,795384.625,184294720,156512672,0.795384625,0.01564002037,
1546626416,796996.3125,184348720,156532016,0.7969963125,0.01563000679,
1546626416,794578.75,184335024,156546528,0.79457875,0.01564002037,
1546626416,798608.0625,184371280,156567472,0.7986080625,0.01563978195,
1546626416,799413.9375,184351936,156536848,0.7994139375,0.01563000679,
1546626416,796996.3125,184323744,156561824,0.7969963125,0.01564002037,
1546626416,797802.1875,184323744,156561024,0.7978021875,0.01564002037,
1546626416,799413.9375,184373696,156606960,0.7994139375,0.01564002037,
1546626416,801831.5,184372896,156555392,0.8018315,0.01563000679,
1546626417,798608.0625,184315680,156591648,0.7986080625,0.01564002037,
1546626417,795384.625,184403520,156579568,0.795384625,0.01564002037,
1546626417,797802.1875,184360800,156628720,0.7978021875,0.01563000679,
