ppg_1,ppg_2,ppg_3
2400659.25,168061472.0,159919040.0
2390183.25,167971216.0,159889232.0
2398241.75,168050992.0,159879568.0
2399853.5,168042128.0,159915024.0
2390989.0,167995392.0,159844096.0
2399047.5,168052608.0,159882784.0
2394212.5,168082416.0,159911792.0
2395824.25,168148496.0,159954512.0
2392600.75,168108208.0,159906160.0
2396630.0,168161392.0,159889232.0
2399047.5,168148496.0,159874720.0
2399047.5,168150912.0,159915824.0
2405494.5,168140432.0,159987552.0
2398241.75,168064688.0,159850544.0
2399853.5,168028432.0,159871504.0
2391794.75,167996192.0,159786080.0
2391794.75,167950256.0,159815904.0
2393406.5,167884976.0,159795744.0
2396630.0,167884176.0,159799776.0
2386153.75,167873696.0,159762704.0
2387765.5,167876112.0,159827984.0
2389377.25,167868864.0,159757872.0
2387765.5,167845488.0,159790912.0
2392600.75,167813264.0,159772384.0
2389377.25,167797136.0,159780432.0
2394212.5,167772160.0,159840080.0
2391794.75,167785056.0,159752240.0
2394212.5,167773776.0,159869888.0
2391794.75,167821312.0,159862640.0
2386153.75,167811648.0,159802192.0
2389377.25,167839040.0,159816704.0
2396630.0,167824544.0,159856192.0
2397436.0,167851136.0,159786880.0
2389377.25,167830176.0,159759488.0
2396630.0,167839040.0,159819920.0
2395824.25,167825344.0,159808640.0
2393406.5,167872896.0,159763520.0
2394212.5,167864832.0,159807040.0
2394212.5,167843072.0,159749008.0
2397436.0,167889824.0,159832016.0
2397436.0,167924464.0,159812672.0
2395824.25,167873696.0,159774000.0
2392600.75,167863216.0,159770768.0
2399047.5,167927696.0,159806224.0
2393406.5,167896256.0,159804608.0
2398241.75,167943008.0,159864256.0
2394212.5,167947040.0,159794144.0
2395824.25,167929312.0,159896480.0
2395824.25,167943808.0,159928720.0
2395018.25,167908352.0,159855392.0
2399853.5,168002640.0,159891648.0
2400659.25,168021168.0,159879568.0
2396630.0,167961536.0,159790112.0
2405494.5,168065488.0,159889232.0
2409523.75,168009088.0,159931936.0
