ppg_1,ppg_2,ppg_3
4240439.5,138927184.0,138337296.0
4232381.0,138968272.0,138342128.0
4243663.0,138948128.0,138313920.0
4242051.5,139024688.0,138351792.0
4246886.5,138949744.0,138371136.0
4237216.0,138989232.0,138361472.0
4230769.0,138926368.0,138330032.0
4243663.0,138851424.0,138288128.0
4238022.0,138797440.0,138296192.0
4235604.5,138727328.0,138229312.0
4238022.0,138724912.0,138272016.0
4227546.0,138699920.0,138281680.0
4237216.0,138616112.0,138250256.0
4238022.0,138670112.0,138249456.0
4229963.5,138690256.0,138260736.0
4228351.5,138703152.0,138250256.0
4232381.0,138714432.0,138279264.0
4238828.0,138753120.0,138292160.0
4234798.5,138752304.0,138250256.0
4234798.5,138765200.0,138255088.0
4233992.5,138771648.0,138301824.0
4241245.5,138802272.0,138326000.0
4245274.5,138803888.0,138238976.0
4245274.5,138762784.0,138303440.0
4237216.0,138826448.0,138330848.0
4241245.5,138786960.0,138328432.0
4242051.5,138801472.0,138285712.0
4241245.5,138840144.0,138282496.0
4250110.0,138793408.0,138282496.0
4242857.0,138820000.0,138309888.0
4242051.5,138824832.0,138284096.0
4242051.5,138862704.0,138334864.0
4244469.0,138836112.0,138338096.0
4254139.0,138912672.0,138303440.0
4246886.5,138898176.0,138363888.0
4248498.0,138920736.0,138268784.0
4258974.5,138950544.0,138371936.0
4255751.0,138968272.0,138324400.0
4263003.5,139000512.0,138370336.0
4253333.5,138998096.0,138370336.0
4255751.0,139075456.0,138429152.0
4256557.0,139047248.0,138404976.0
4260586.0,139083520.0,138383216.0
4257362.5,139085936.0,138376784.0
4266227.0,139114144.0,138393696.0
4261392.0,139163296.0,138446880.0
4271868.0,139123008.0,138462192.0
4265421.0,139177808.0,138458976.0
4271868.0,139160880.0,138481536.0
4275091.5,139180224.0,138450912.0
4267839.0,139230176.0,138475904.0
4268644.5,139212448.0,138408208.0
4270256.5,139276928.0,138440432.0
4279121.0,139269664.0,138498464.0
4276703.5,139311568.0,138509744.0
4278315.0,139314000.0,138482352.0
4279926.5,139355088.0,138462192.0
4279926.5,139367984.0,138502496.0
4277509.0,139335744.0,138512960.0
4278315.0,139300288.0,138442864.0
4271868.0,139230176.0,138485568.0
4269450.5,139189888.0,138473472.0
4271868.0,139147184.0,138454144.0
4280732.5,139056112.0,138442048.0
4265421.0,139061760.0,138457360.0
4264615.5,139064976.0,138442864.0
4260586.0,139115744.0,138432384.0
4256557.0,139052080.0,138423520.0
4267033.0,139052080.0,138439632.0
4258168.5,139081104.0,138506528.0
4263003.5,139096416.0,138429968.0
4268644.5,139106880.0,138400144.0
4258974.5,139152016.0,138462192.0
4271062.5,139200368.0,138413840.0
4269450.5,139225344.0,138498464.0
4263003.5,139178608.0,138463008.0
4267033.0,139172160.0,138469456.0
4279926.5,139198752.0,138482352.0
