timestamps,eeg_1,eeg_2,eeg_3,eeg_4,ppg_1,ppg_2,ppg_3
1553360314.3029983,,,,,,,
1553360314.3030171,,,,,,,
1553360314.3031814,,,,,,,
1553360314.3062646,834.065917969,812.710632324,803.040283203,884.029296875,,,
1553360314.3101635,818.754577637,809.084228516,806.666687012,830.842468262,,,
1553360314.3122423,,,,,2388571.5,167992160.0,159888432.0
1553360314.3126948,,,,,,,
1553360314.3129566,,,,,,,
1553360314.3140624,778.05859375,805.860778809,802.637390137,794.175842285,,,
1553360314.3179615,796.593383789,807.069580078,800.622680664,831.648376465,,,
1553360314.3201487,,,,,,,
1553360314.3218603,840.915771484,807.069580078,799.010986328,874.761901855,,,
1553360314.3257592,835.67767334,811.501831055,799.010986328,853.003662109,,,
1553360314.3278415,,,,,2392600.75,168023584.0,159865056.0
1553360314.3296580,796.996337891,815.53112793,802.234436035,809.084228516,,,
1553360314.3323283,,,,,,,
1553360314.3325901,,,,,,,
1553360314.3335571,794.175842285,813.516479492,800.622680664,823.992675781,,,
1553360314.3374560,843.73626709,809.487182617,802.234436035,870.329650879,,,
1553360314.3413548,861.465209961,811.098876953,801.831481934,859.450561523,,,
1553360314.3434408,,,,,2390989.0,167992160.0,159865856.0
1553360314.3452537,816.336975098,809.890136719,799.816833496,805.457885742,,,
1553360314.3491528,796.996337891,807.875488281,803.040283203,800.622680664,,,
1553360314.3519619,,,,,,,
1553360314.3522236,,,,,,,
1553360314.3530517,838.095214844,812.307678223,807.875488281,860.659362793,,,
1553360314.3553176,,,,,,,
1553360314.3569505,861.062255859,812.307678223,811.501831055,879.194152832,,,
1553360314.3590400,,,,,2395824.25,168054208.0,159927104.0
1553360314.3608494,826.813171387,812.710632324,813.113525391,831.245422363,,,
1553360314.3647485,801.428588867,810.695983887,818.351623535,805.054931641,,,
1553360314.3686473,829.230773926,807.069580078,819.157531738,843.333312988,,,
1553360314.3715954,,,,,,,
1553360314.3718569,,,,,,,
1553360314.3725462,865.091552734,807.47253418,812.710632324,878.388305664,,,
1553360314.3746393,,,,,2390183.25,168038096.0,159918240.0
1553360314.3764451,843.73626709,807.069580078,809.487182617,838.901123047,,,
1553360314.3803442,807.069580078,801.831481934,808.681335449,794.175842285,,,
1553360314.3842430,825.201477051,804.652038574,810.695983887,827.619018555,,,
1553360314.3881419,870.73260498,811.904785156,807.069580078,874.761901855,,,
1553360314.3902383,,,,,2390989.0,167996992.0,159916624.0
1553360314.3904865,,,,,,,
1553360314.3912289,,,,,,,
1553360314.3914905,,,,,,,
1553360314.3920407,867.106201172,809.084228516,803.443237305,862.67401123,,,
1553360314.3959398,822.380981445,805.054931641,805.860778809,809.084228516,,,
1553360314.3998387,819.560424805,803.846130371,806.666687012,809.084228516,,,
1553360314.4035599,,,,,,,
1553360314.4035599,,,,,,,
1553360314.4037375,864.688659668,807.47253418,808.681335449,863.076904297,,,
1553360314.4037867,,,,,,,
1553360314.4038076,,,,,,,
1553360314.4038336,,,,,,,
1553360314.4039502,,,,,,,
1553360314.4040117,,,,,,,
1553360314.4040520,,,,,,,
1553360314.4040830,,,,,,,
1553360314.4041159,,,,,,,
1553360314.4042394,,,,,,,
1553360314.4042749,,,,,,,
1553360314.4043009,,,,,,,
1553360314.4043317,,,,,,,
1553360314.4044242,,,,,,,
1553360314.4044709,,,,,,,
1553360314.4044898,,,,,,,
1553360314.4046538,,,,,,,
1553360314.4058375,,,,,2398241.75,168047760.0,159947248.0
1553360314.4076364,874.358947754,813.516479492,810.695983887,862.271057129,,,
1553360314.4108624,,,,,,,
1553360314.4111240,,,,,,,
1553360314.4115355,829.633728027,811.904785156,806.26373291,808.278381348,,,
1553360314.4154344,810.695983887,804.652038574,802.637390137,796.593383789,,,
1553360314.4193332,850.989013672,803.846130371,809.487182617,850.989013672,,,
1553360314.4214368,,,,,2399047.5,168071936.0,159932752.0
1553360314.4232321,880.0,807.875488281,808.681335449,885.238098145,,,
1553360314.4256554,,,,,,,
1553360314.4271312,856.227111816,809.890136719,806.666687012,837.289367676,,,
1553360314.4304957,,,,,,,
1553360314.4307573,,,,,,,
1553360314.4310300,827.619018555,811.098876953,807.47253418,795.787536621,,,
1553360314.4349289,854.615356445,817.142883301,808.681335449,845.750915527,,,
1553360314.4370360,,,,,2395824.25,168112240.0,159963376.0
1553360314.4388278,894.505493164,816.336975098,813.113525391,889.670349121,,,
1553360314.4427269,882.820495605,815.53112793,816.336975098,854.212463379,,,
1553360314.4466257,844.139221191,814.32232666,814.725280762,806.666687012,,,
1553360314.4501293,,,,,,,
1553360314.4503908,,,,,,,
1553360314.4505246,842.930419922,812.710632324,813.919433594,838.498168945,,,
1553360314.4526353,,,,,2398241.75,168168640.0,159940800.0
1553360314.4544234,882.014648438,811.904785156,817.545776367,898.534790039,,,
1553360314.4583225,879.597045898,809.487182617,822.783874512,876.776550293,,,
1553360314.4608245,,,,,,,
1553360314.4622214,832.857116699,810.293029785,816.336975098,816.336975098,,,
1553360314.4661202,822.380981445,811.501831055,810.293029785,823.186828613,,,
1553360314.4682345,,,,,2401465.25,168134800.0,159947248.0
1553360314.4697628,,,,,,,
1553360314.4700191,864.688659668,816.336975098,817.948730469,877.985351562,,,
1553360314.4700241,,,,,,,
1553360314.4739182,881.611694336,819.560424805,818.351623535,876.776550293,,,
1553360314.4778171,837.289367676,818.351623535,813.516479492,823.186828613,,,
1553360314.4817159,809.084228516,815.128234863,805.860778809,820.769226074,,,
1553360314.4838338,,,,,2397436.0,168135600.0,159894864.0
1553360314.4856148,836.886474609,806.666687012,807.069580078,863.479858398,,,
1553360314.4893963,,,,,,,
1553360314.4895139,855.421264648,802.637390137,817.545776367,879.194152832,,,
1553360314.4896576,,,,,,,
1553360314.4934127,820.769226074,805.457885742,812.307678223,832.857116699,,,
1553360314.4959934,,,,,,,
